date,AAPL,MSFT,AMZN,GOOGL,META,TSLA,NVDA,JPM,V,JNJ
2023-02-13,153.63634,270.05185,99.54,94.61,179.43,194.64,217.81934,141.46146,228.43501,160.39465
2023-02-10,150.80028,261.87027,97.61,94.57,174.15,196.89,212.59079,139.94334,226.75829,159.80334
2023-02-09,150.43135,262.38785,98.24,95.01,177.92,207.32,223.3078,139.32817,228.9041,159.0642
2023-02-08,151.4783,265.4833,100.05,99.37,183.43,201.29,221.98817,141.53091,229.30254,161.24222
2023-02-07,154.20036,266.30942,102.11,107.64,191.62,196.81,221.66826,142.53305,230.41818,161.03525
2023-02-06,151.28885,255.56985,102.18,102.9,186.06,194.76,210.83128,140.81651,228.5455,160.99583
2023-02-03,154.0508,257.1425,103.39,104.78,186.53,189.98,210.94125,139.99297,229.23282,162.22774
2023-02-02,150.3815,263.36325,112.91,107.74,188.77,188.27,217.02956,137.85968,228.66504,163.14429
2023-02-01,145.00717,251.56865,105.15,100.43,153.12,181.41,209.37169,138.50462,229.99982,162.53325
2023-01-31,143.87048,246.65173,103.13,98.84,148.97,173.22,195.3156,138.87175,229.3125,161.05496
2023-01-30,142.58423,241.57558,100.55,96.94,147.06,166.66,191.56665,138.0482,228.20683,159.65552
2023-01-27,145.50572,247.0001,102.24,99.37,151.74,177.9,203.59329,139.22894,230.5377,165.79535
2023-01-26,143.54144,246.84085,99.22,97.52,147.3,160.27,197.96486,138.89159,223.83394,166.4458
2023-01-25,141.44756,239.48538,97.18,95.22,141.5,144.43,193.1762,138.03828,224.02321,167.05682
2023-01-24,142.1156,240.9087,96.32,97.7,143.14,143.89,192.59636,137.37349,223.01714,165.87419
2023-01-23,140.69972,241.44618,97.52,99.79,143.27,143.75,191.87656,136.20267,223.30602,165.87419
2023-01-20,137.46915,239.09721,97.25,98.02,139.37,133.42,178.34033,134.0297,223.4355,166.29797
2023-01-19,134.87671,230.84596,93.68,93.05,136.15,127.17,167.60332,133.70226,219.5507,167.07654
2023-01-18,134.81688,234.70782,95.46,91.12,133.02,128.78,173.72162,135.5081,218.60442,167.3032
2023-01-17,135.54475,239.22661,96.05,91.29,135.36,131.49,176.9707,139.70522,222.13062,169.86559
2023-01-13,134.3682,238.11183,98.12,92.12,136.98,122.4,168.94295,141.89804,222.19038,170.92009
2023-01-12,133.02211,237.3952,95.27,91.13,136.71,123.56,165.06403,138.40541,222.7482,171.48184
2023-01-11,133.10188,234.66801,95.09,91.52,132.89,123.22,159.96545,138.54431,221.23412,172.3491
2023-01-10,130.34991,227.78035,89.87,88.42,132.99,118.85,159.0457,137.52232,220.22806,172.62506
2023-01-09,129.77159,226.05844,87.36,88.02,129.47,119.77,156.23648,136.30188,217.74777,173.03899
2023-01-06,129.24313,223.87868,86.08,87.34,130.02,113.06,148.54863,136.86746,216.90108,177.64139
2023-01-05,124.65651,221.27092,83.12,86.2,126.94,110.34,142.61028,134.29759,210.28697,176.21237
2023-01-04,125.992615,228.02919,85.14,88.08,127.37,113.64,147.44893,134.32715,211.78111,177.52313
2023-01-03,124.70637,238.4602,85.82,89.12,124.74,108.1,143.11014,133.0861,206.58147,175.6112
2022-12-30,129.55223,238.69908,84.0,88.23,120.34,123.18,146.0993,132.08147,206.95003,174.09349
2022-12-29,129.23317,239.88351,84.18,88.45,120.26,121.82,145.98933,131.2147,207.24886,174.99033
2022-12-28,125.673546,233.4338,81.82,86.02,115.62,112.71,140.32092,130.46614,204.19083,174.10335
2022-12-27,129.65195,235.85245,83.04,87.39,116.88,109.1,141.17068,129.75699,205.48576,174.86221
2022-12-23,131.47662,237.61418,85.25,89.23,118.04,123.15,152.01765,129.30391,205.02756,174.91148
2022-12-22,131.84555,237.0767,83.79,87.76,117.12,125.35,153.34729,128.69324,204.26056,174.468
2022-12-21,135.05618,243.28754,86.77,89.58,119.76,137.57,164.96405,130.17067,206.00374,175.10858
2022-12-20,131.91534,240.66983,85.19,89.02,117.09,137.8,160.8052,128.7228,204.55939,173.12767
2022-12-19,131.98514,239.32614,84.92,88.44,114.48,149.87,162.49474,128.10228,204.02148,172.94043
2022-12-16,134.11891,243.54633,87.86,90.26,119.43,150.23,165.66386,127.343864,206.08342,173.12767
2022-12-15,136.10313,247.84613,88.45,90.86,116.15,157.67,169.4728,128.14168,207.09944,174.92134
2022-12-14,142.79362,256.01776,91.58,95.07,121.59,156.8,176.6908,131.40184,212.48836,177.1585
2022-12-13,145.04706,255.71916,92.49,95.63,120.15,160.95,180.66968,132.06177,212.20944,176.61644
2022-12-12,144.0699,251.32977,90.55,93.31,114.71,167.82,175.30118,132.1898,213.7534,175.26627
2022-12-09,141.74667,244.2729,89.09,92.83,115.9,179.05,169.96266,130.17067,207.88637,173.19667
2022-12-08,142.23524,246.24365,90.35,93.71,115.33,173.44,171.6422,130.87982,208.2848,174.63553
2022-12-07,140.53023,243.22781,88.46,94.94,113.93,174.04,161.15512,129.5206,206.99983,174.60597
2022-12-06,142.49449,243.9743,88.25,96.98,114.12,179.82,159.82549,129.60924,208.26488,173.55145
2022-12-05,146.20367,249.03056,91.01,99.48,122.43,182.45,166.05376,129.39255,212.84695,176.19267
2022-12-02,147.38025,253.82803,94.13,100.44,123.49,194.86,168.71301,133.1255,216.81143,176.29121
2022-12-01,147.8788,253.49957,95.5,100.99,120.44,194.7,171.30229,134.18925,216.154,176.15324
2022-11-30,147.59961,253.94748,96.54,100.99,118.1,194.7,169.18288,136.10005,216.154,175.42395
2022-11-29,140.75955,239.2067,92.42,95.19,109.46,180.83,156.30951,134.50443,208.24496,173.5416
2022-11-28,143.80069,240.63002,93.95,96.05,108.78,182.92,158.18854,132.3277,210.43639,174.76366
2022-11-25,147.67938,246.33324,93.41,97.46,111.41,182.86,162.61626,134.68172,212.95651,174.67496
2022-11-23,150.63077,246.4228,94.13,98.46,112.24,183.2,165.10498,134.42564,210.90456,174.44829
2022-11-22,149.74336,243.88474,93.2,97.05,111.44,169.91,160.29745,133.00731,209.51001,174.26103
2022-11-21,147.57967,240.91866,92.46,95.6,109.86,167.87,153.09117,131.04727,205.51564,173.42334
2022-11-18,150.85013,240.09254,94.14,97.43,112.05,180.19,154.0107,131.82538,209.97818,172.54202
2022-11-17,150.28178,240.55038,94.85,98.36,111.45,183.17,156.68932,130.54494,210.16743,171.22984
2022-11-16,148.3574,240.60016,97.12,98.85,113.23,186.92,159.01811,131.11621,209.32076,169.8589
2022-11-15,149.60376,240.16344,98.94,98.44,117.08,194.42,166.57422,130.93892,209.17134,168.81111
2022-11-14,147.84888,239.74658,98.49,95.7,114.22,190.95,162.86613,131.89432,206.05354,168.34108
2022-11-11,149.26476,245.26506,100.79,96.41,113.02,195.97,163.18597,133.2634,204.20079,165.7363
2022-11-10,146.44298,241.1659,96.63,93.94,111.87,190.72,157.41893,133.0467,204.76857,170.84793
2022-11-09,134.47787,222.8338,86.14,87.32,101.47,177.59,137.6891,127.787094,193.17395,168.86987
2022-11-08,139.0944,227.16124,89.98,88.9,96.47,191.3,145.94484,129.47134,200.52803,170.23102
2022-11-07,138.5161,226.16872,90.53,88.49,96.72,197.08,142.9364,129.39255,198.85846,169.38887
2022-11-04,137.97766,219.73709,90.98,86.58,90.79,207.47,141.48714,128.71294,195.75781,167.92001
2022-11-03,138.24643,212.65039,89.3,83.43,88.91,215.31,134.14093,125.285324,193.54166,167.17578
2022-11-02,144.36838,218.45673,92.12,86.97,90.54,214.98,132.12196,125.058784,199.70319,166.8918
2022-11-01,149.96274,226.46648,96.79,90.47,95.2,227.82,135.36029,126.22102,205.64607,169.49658
2022-10-31,152.64047,230.39691,102.44,94.51,93.16,227.54,134.90053,123.98519,205.87465,170.35832
2022-10-28,155.02953,234.10898,103.41,96.29,99.2,228.52,138.2688,124.18218,208.04112,171.23962
2022-10-27,144.13943,225.05707,110.96,92.22,97.94,225.09,131.69218,122.72446,203.02246,168.73277
2022-10-26,148.66867,229.59296,115.66,94.93,129.82,224.64,128.89363,122.24184,202.06842,168.63486
2022-10-25,151.64503,248.78856,120.6,104.48,137.51,222.415,132.54175,120.85306,193.17395,167.166
